municipalite	clients	commandes	ventes	menages	revenuMedian	revenuApresImpot	clientsPar1000Menages	commandesPar1000Menages	commandesParClient	tauxRecurrence	valeurMoyenne
Beloeil	89	116	9575	10140	90000	76000	8.78	11.44	1.3	0.2022	108
Sainte-Adèle	88	114	9705	6895	69000	60000	12.76	16.53	1.3	0.1818	110
Val-d'Or	97	112	9501	15030	75500	64500	6.45	7.45	1.15	0.134	98
Sorel-Tracy	89	109	9052	17070	60800	53600	5.21	6.39	1.22	0.1573	102
Rawdon	82	108	8412	5445	62000	55600	15.06	19.83	1.32	0.1707	103
Saint-Lambert	72	108	9951	10550	88000	72500	6.82	10.24	1.5	0.3056	138
Brossard	84	107	9485	35885	84000	72500	2.34	2.98	1.27	0.1786	113
Prévost	75	101	7681	5530	96000	81000	13.56	18.26	1.35	0.2533	102
Gaspé	69	97	6812	6780	72000	63200	10.18	14.31	1.41	0.2609	99
Sept-Îles	67	97	7606	11275	80000	68500	5.94	8.6	1.45	0.2836	114
Mont-Saint-Hilaire	78	97	8185	7765	104000	85000	10.05	12.49	1.24	0.2051	105
Châteauguay	71	96	6635	19915	79000	69000	3.57	4.82	1.35	0.2113	93
Baie-Comeau	75	96	7634	9555	75500	64500	7.85	10.05	1.28	0.1867	102
Mont-Laurier	65	94	8976	6700	57600	52400	9.7	14.03	1.45	0.2462	138
Sainte-Sophie	74	94	4849	7210	84000	72000	10.26	13.04	1.27	0.1892	66
Saint-Augustin-de-Desmaures	68	92	8903	8145	109000	90000	8.35	11.3	1.35	0.2647	131
Saint-Colomban	79	92	5871	6630	100000	84000	11.92	13.88	1.16	0.1392	74
Vaudreuil-Dorion	68	87	7992	16710	89000	76000	4.07	5.21	1.28	0.2059	118
La Prairie	66	85	6454	11050	91000	76500	5.97	7.69	1.29	0.2121	98
Salaberry-de-Valleyfield	67	85	6114	20070	62000	54800	3.34	4.24	1.27	0.209	91
Rivière-du-Loup	60	84	5638	9485	62800	54800	6.33	8.86	1.4	0.2333	94
Joliette	65	83	8902	10570	52800	47200	6.15	7.85	1.28	0.1538	137
Saint-Georges	62	83	5723	15415	64000	56000	4.02	5.38	1.34	0.1935	92
Saint-Hippolyte	64	81	6212	4685	84000	71000	13.66	17.29	1.27	0.2031	97
Bécancour	62	80	5546	6030	75000	64500	10.28	13.27	1.29	0.1452	89
Sutton	54	77	7108	2390	66500	57600	22.59	32.22	1.43	0.2963	132
Val-David	60	76	6624	2670	63200	56000	22.47	28.46	1.27	0.2167	110
Rosemère	56	75	6551	5245	120000	98000	10.68	14.3	1.34	0.2321	117
Carignan	52	73	7256	4270	122000	100000	12.18	17.1	1.4	0.1731	140
Amos	55	73	6057	5760	70500	60800	9.55	12.67	1.33	0.1818	110
Cantley	53	73	5666	4110	131000	105000	12.9	17.76	1.38	0.3019	107
Saint-Constant	50	72	5038	11315	101000	85000	4.42	6.36	1.44	0.24	101
L'Assomption	62	71	4544	9210	87000	74500	6.73	7.71	1.15	0.1129	73
Boisbriand	58	71	4911	11425	87000	74500	5.08	6.21	1.22	0.1552	85
Saint-Sauveur	52	71	6610	5935	71000	61200	8.76	11.96	1.37	0.2692	127
Cowansville	55	70	4660	6980	58800	52400	7.88	10.03	1.27	0.2182	85
Stoneham-et-Tewkesbury	58	68	4858	3865	104000	87000	15.01	17.59	1.17	0.1034	84
Lac-Beauport	51	67	6428	3070	134000	107000	16.61	21.82	1.31	0.1961	126
Sainte-Agathe-des-Monts	51	67	4790	5510	58800	52400	9.26	12.16	1.31	0.1569	94
Mont-Tremblant	55	65	4504	5405	67500	58400	10.18	12.03	1.18	0.1636	82
Saint-Basile-le-Grand	48	64	5473	6560	107000	89000	7.32	9.76	1.33	0.25	114
Otterburn Park	50	63	4305	3335	104000	87000	14.99	18.89	1.26	0.18	86
Mercier	45	63	4915	5400	100000	85000	8.33	11.67	1.4	0.1778	109
Beauharnois	48	62	3616	6290	69500	60800	7.63	9.86	1.29	0.1667	75
Pointe-Claire	45	62	4572	13310	92000	78000	3.38	4.66	1.38	0.2667	102
Val-des-Monts	46	61	4793	5350	101000	85000	8.6	11.4	1.33	0.2609	104
Saint-Charles-Borromée	48	61	5152	6850	60400	54400	7.01	8.91	1.27	0.1458	107
L'Ancienne-Lorette	43	60	6281	7310	86000	73000	5.88	8.21	1.4	0.2558	146
Sainte-Thérèse	52	58	5705	12685	65000	56400	4.1	4.57	1.12	0.0962	110
Lachute	49	58	3513	6535	56400	50800	7.5	8.88	1.18	0.102	72
Saint-Félicien	37	58	3861	4685	67000	58800	7.9	12.38	1.57	0.2973	104
La Tuque	43	58	4787	5545	59600	53600	7.75	10.46	1.35	0.3256	111
Baie-Saint-Paul	40	58	6982	3425	64500	56800	11.68	16.93	1.45	0.175	175
