lieu	clients	commandes	ventes	commandesParClient	tauxRecurrence	valeurMoyenne
Saint-Apollinaire (QC)	25	35	2044	1.4	0.28	82
Greenfield Park (QC)	28	35	2642	1.25	0.1786	94
Val-Morin (QC)	29	35	3032	1.21	0.1379	105
St. Catharines (ON)	30	35	1111	1.17	0.1	37
Bois-Des-Filion (QC)	18	34	3288	1.89	0.4444	183
Lorraine (QC)	28	34	3507	1.21	0.2143	125
Marieville (QC)	33	34	2242	1.03	0.0303	68
Adstock (QC)	22	34	2811	1.55	0.3636	128
Portneuf (QC)	20	34	2849	1.7	0.3	142
Saint-Césaire (QC)	24	33	3068	1.38	0.25	128
Saint-Nicolas (QC)	25	33	2720	1.32	0.2	109
Saint-Joseph-Du-Lac (QC)	16	33	2611	2.06	0.4375	163
La Pocatière (QC)	25	32	3422	1.28	0.24	137
Saint-Fulgence (QC)	20	32	1984	1.6	0.3	99
Eastman (QC)	28	32	2907	1.14	0.1429	104
Saint-Jean-Port-Joli (QC)	26	32	3303	1.23	0.1538	127
Richelieu (QC)	26	32	2550	1.23	0.2308	98
Maria (QC)	25	32	3794	1.28	0.16	152
Shannon (QC)	26	32	1841	1.23	0.1154	71
Saint-Ferréol-Les-Neiges (QC)	26	31	2433	1.19	0.1923	94
Kamloops (BC)	23	31	953	1.35	0.1739	41
Saint-Denis-De-Brompton (QC)	21	30	2621	1.43	0.2381	125
Saint-Alphonse-Rodriguez (QC)	22	30	1646	1.36	0.2727	75
Morin-Heights (QC)	21	30	2605	1.43	0.2857	124
Bonaventure (QC)	20	30	2123	1.5	0.35	106
Rigaud (QC)	27	30	1837	1.11	0.1111	68
Trois Rivieres (QC)	23	30	2587	1.3	0.1739	112
Saint-Boniface (QC)	26	30	2778	1.15	0.1538	107
Frelighsburg (QC)	23	30	2563	1.3	0.1304	111
Saint-Zotique (QC)	24	30	2267	1.25	0.1667	94
Brantford (ON)	26	30	822	1.15	0.1154	32
Thunder Bay (ON)	28	30	1753	1.07	0.0714	63
Barrie (ON)	28	30	1083	1.07	0.0714	39
Waterville (QC)	21	29	2302	1.38	0.2381	110
Beaupré (QC)	21	29	2281	1.38	0.381	109
Stoneham (QC)	20	29	2496	1.45	0.3	125
Saint-Gabriel-De-Brandon (QC)	18	29	2760	1.61	0.4444	153
Saint-Félix-De-Valois (QC)	27	29	1690	1.07	0.0741	63
Oakville (ON)	20	29	2215	1.45	0.2	111
Sainte-Marguerite-Du-Lac-Masson (QC)	27	29	1958	1.07	0.037	73
Saint-Lambert-De-Lauzon (QC)	24	29	2355	1.21	0.1667	98
Mcmasterville (QC)	19	28	1988	1.47	0.3158	105
Danville (QC)	20	28	3514	1.4	0.3	176
Guelph (ON)	25	28	2458	1.12	0.12	98
Saint-Adolphe-D'Howard (QC)	19	27	2654	1.42	0.2632	140
Beaconsfield (QC)	22	27	2059	1.23	0.1818	94
Saint-Ambroise (QC)	19	27	1494	1.42	0.2105	79
Donnacona (QC)	25	27	1727	1.08	0.08	69
Montréal-Nord (QC)	15	27	1636	1.8	0.2667	109
Chatham (ON)	25	27	699	1.08	0.08	28
L'Épiphanie (QC)	17	26	1793	1.53	0.2941	105
Nepean (ON)	23	26	1766	1.13	0.1304	77
Acton Vale (QC)	17	26	1832	1.53	0.2941	108
Sainte-Luce (QC)	15	26	1949	1.73	0.2667	130
Sainte-Béatrix (QC)	21	26	2335	1.24	0.1429	111
Saint-Calixte (QC)	22	26	1664	1.18	0.1818	76
Stoke (QC)	23	26	2033	1.13	0.1304	88
L'Islet (QC)	20	26	1900	1.3	0.15	95
Halifax (NS)	22	26	1644	1.18	0.1364	75
Sainte-Marie (QC)	17	26	2139	1.53	0.2941	126
Saint-Honoré (QC)	17	25	1628	1.47	0.2941	96
Piedmont (QC)	19	25	1897	1.32	0.3158	100
Ripon (QC)	17	25	3055	1.47	0.3529	180
Cambridge (ON)	22	25	1020	1.14	0.1364	46
Sarnia (ON)	19	25	1432	1.32	0.3158	75
Saint-Jean Sur Richelieu (QC)	18	24	1291	1.33	0.2222	72
Crabtree (QC)	17	24	2124	1.41	0.1765	125
Beaumont (QC)	20	24	2125	1.2	0.2	106
L'Anse-Saint-Jean (QC)	15	24	7188	1.6	0.4	479
Bolton-Est (QC)	14	24	2049	1.71	0.2857	146
Mandeville (QC)	17	24	1088	1.41	0.2941	64
Waterloo (QC)	22	24	1773	1.09	0.0909	81
Cookshire-Eaton (QC)	17	24	2654	1.41	0.2353	156
Saint-Pascal (QC)	15	24	2175	1.6	0.1333	145
Saint-Ignace-De-Loyola (QC)	13	24	2427	1.85	0.4615	187
Napierville (QC)	14	24	1146	1.71	0.1429	82
Laterriere (QC)	18	24	2203	1.33	0.2222	122
New Richmond (QC)	17	24	1654	1.41	0.1765	97
Westmount (QC)	17	24	2492	1.41	0.2941	147
Saint-Roch-De-L'Achigan (QC)	12	23	1737	1.92	0.25	145
Gore (QC)	15	23	1823	1.53	0.2	122
Riviere-Rouge (QC)	18	23	1987	1.28	0.0556	110
Anjou (QC)	18	23	1184	1.28	0.1111	66
Senneterre (QC)	16	23	1596	1.44	0.3125	100
Chertsey (QC)	19	23	1460	1.21	0.2105	77
Valcourt (QC)	15	23	2070	1.53	0.2667	138
La Sarre (QC)	16	23	1755	1.44	0.1875	110
Brampton (ON)	22	23	752	1.05	0.0455	34
Dartmouth (NS)	21	23	743	1.1	0.0952	35
Kingsey Falls (QC)	15	23	2543	1.53	0.2667	170
Scarborough (ON)	17	23	957	1.35	0.2941	56
Saint-Antoine-De-Tilly (QC)	17	22	1920	1.29	0.2353	113
Amqui (QC)	16	22	1844	1.38	0.375	115
Chibougamau (QC)	20	22	1345	1.1	0.1	67
Roxton Pond (QC)	16	22	1131	1.38	0.375	71
Sainte-Anne-Des-Plaines (QC)	15	22	1406	1.47	0.1333	94
Hudson (QC)	12	22	1920	1.83	0.4167	160
Saint-Michel-De-Bellechasse (QC)	14	22	2102	1.57	0.4286	150
Peterborough (ON)	16	22	1458	1.38	0.25	91
Sault Ste. Marie (ON)	20	22	737	1.1	0.1	37
Pointe-Aux-Trembles (QC)	20	21	1606	1.05	0.05	80
Château-Richer (QC)	20	21	3779	1.05	0.05	189
Saint-Michel (QC)	15	21	1497	1.4	0.2667	100
Entrelacs (QC)	13	21	2240	1.62	0.3077	172
Saint-Côme (QC)	15	21	2134	1.4	0.2667	142
Warwick (QC)	17	21	2234	1.24	0.2353	131
Lanoraie (QC)	18	21	2150	1.17	0.1667	119
Carleton-Sur-Mer (QC)	16	21	1918	1.31	0.1875	120
Lac-Etchemin (QC)	12	21	1584	1.75	0.3333	132
Notre-Dame-Du-Mont-Carmel (QC)	17	21	1616	1.24	0.2353	95
Saint-Étienne-Des-Grès (QC)	15	21	2493	1.4	0.2	166
Saint-Ambroise-De-Kildare (QC)	17	21	1012	1.24	0.2353	60
Sainte-Anne-Des-Monts (QC)	17	21	1497	1.24	0.1765	88
Niagara Falls (ON)	17	21	653	1.24	0.0588	38
Surrey (BC)	20	21	622	1.05	0.05	31
Saint-Amable (QC)	18	21	1362	1.17	0.1111	76
Nanaimo (BC)	19	21	823	1.11	0.1053	43
Harrington (QC)	12	20	1870	1.67	0.3333	156
Saint-Élie-De-Caxton (QC)	14	20	1737	1.43	0.4286	124
Saint-Donat (QC)	14	20	1152	1.43	0.2857	82
Grondines (QC)	14	20	1533	1.43	0.2857	110
Saint-Anicet (QC)	16	20	1855	1.25	0.1875	116
Nominingue (QC)	16	20	1710	1.25	0.25	107
Fredericton (NB)	16	20	1373	1.25	0.1875	86
Kelowna (BC)	16	20	1139	1.25	0.1875	71
Saint-Philippe (QC)	18	20	1202	1.11	0.1111	67
Saint-Mathias-Sur-Richelieu (QC)	11	20	2623	1.82	0.2727	238
Kirkland (QC)	15	19	1143	1.27	0.2667	76
Saint-Damien (QC)	14	19	1957	1.36	0.1429	140
Windsor (QC)	15	19	1007	1.27	0.2	67
Saint-Antoine-Sur-Richelieu (QC)	14	19	996	1.36	0.2857	71
Saint-Donat-De-Montcalm (QC)	17	19	1696	1.12	0.1176	100
Saint-Mathieu-Du-Parc (QC)	14	19	1815	1.36	0.2857	130
Rougemont (QC)	12	19	1432	1.58	0.4167	119
Delson (QC)	14	19	1212	1.36	0.2143	87
North Vancouver (BC)	14	19	1159	1.36	0.2857	83
Belleville (ON)	17	19	910	1.12	0.0588	54
Papineauville (QC)	10	18	1650	1.8	0.4	165
Hébertville (QC)	16	18	751	1.13	0.0625	47
Saint-Rémi (QC)	11	18	1237	1.64	0.2727	112
Saint-Isidore (QC)	16	18	1638	1.13	0.125	102
Saint-Pie (QC)	15	18	1703	1.2	0.2	114
Moncton (NB)	17	18	1182	1.06	0.0588	70
Brigham (QC)	14	18	1589	1.29	0.2857	113
Saint-Paul (QC)	14	18	972	1.29	0.2857	69
Sainte-Pétronille (QC)	14	18	1584	1.29	0.2857	113
Saint-Mathieu-De-Beloeil (QC)	10	18	2450	1.8	0.3	245
Cacouna (QC)	13	18	2087	1.38	0.2308	161
Cap-Santé (QC)	13	18	1913	1.38	0.3077	147
Louiseville (QC)	15	18	933	1.2	0.1333	62
Sainte-Madeleine (QC)	16	18	1102	1.13	0.125	69
Racine (QC)	16	18	1638	1.13	0.125	102
Saint-Jean-Baptiste (QC)	13	17	1039	1.31	0.2308	80
Cap-Saint-Ignace (QC)	12	17	1052	1.42	0.25	88
Saint-Jean-De-Matha (QC)	14	17	1096	1.21	0.2143	78
Lac-Des-Ecorces (QC)	10	17	1904	1.7	0.3	190
Saint-Anaclet (QC)	13	17	1285	1.31	0.3077	99
Saint-Thomas (QC)	14	17	1617	1.21	0.1429	115
Saint-Lin - Laurentides (QC)	16	17	1182	1.06	0.0625	74
Ajax (ON)	15	17	946	1.13	0.1333	63
Beauceville (QC)	14	17	920	1.21	0.1429	66
Perth (ON)	14	17	914	1.21	0.1429	65
Luskville (QC)	13	17	1529	1.31	0.2308	118
Prince George (BC)	11	17	761	1.55	0.3636	69
Orleans (ON)	16	17	1082	1.06	0.0625	68
Larouche (QC)	10	17	1457	1.7	0.3	146
Goderich (ON)	15	17	849	1.13	0.0667	57
Owen Sound (ON)	12	17	662	1.42	0.25	55
Dollard-Des-Ormeaux (QC)	10	16	1767	1.6	0.3	177
Mont Saint-Hilaire (QC)	14	16	1146	1.14	0.1429	82
Sainte-Catherine-De-Hatley (QC)	14	16	1013	1.14	0.1429	72
Mont-Saint-Grégoire (QC)	10	16	1798	1.6	0.4	180
Métabetchouan-Lac-À-La-Croix (QC)	14	16	1322	1.14	0.1429	94
Pembroke (ON)	10	16	1016	1.6	0.3	102
Saint-Étienne-De-Bolton (QC)	13	16	1805	1.23	0.1538	139
Sainte-Thècle (QC)	13	16	2091	1.23	0.1538	161
Aurora (ON)	13	16	699	1.23	0.2308	54
Brandon (MB)	12	16	924	1.33	0.1667	77
Pickering (ON)	15	16	790	1.07	0.0667	53
Etobicoke (ON)	15	16	576	1.07	0.0667	38
Saint-Lucien (QC)	11	15	566	1.36	0.3636	51
Armagh (QC)	11	15	783	1.36	0.1818	71
Saint-Maurice (QC)	11	15	889	1.36	0.2727	81
Brownsburg-Chatham (QC)	11	15	1525	1.36	0.2727	139
Témiscouata-Sur-Le-Lac (QC)	14	15	1462	1.07	0.0714	104
Mont-Carmel (QC)	12	15	801	1.25	0.1667	67
Saint-Hugues (QC)	11	15	1147	1.36	0.2727	104
Lotbinière (QC)	13	15	1649	1.15	0.1538	127
Les Éboulements (QC)	11	15	792	1.36	0.1818	72
Saint-Gabriel-De-Valcartier (QC)	11	15	946	1.36	0.2727	86
Saint-Ulric (QC)	14	15	772	1.07	0.0714	55
Sainte-Martine (QC)	11	15	1789	1.36	0.2727	163
Carleton Place (ON)	11	15	691	1.36	0.3636	63
Knowlton (QC)	14	15	983	1.07	0.0714	70
Saint-André-D'Argenteuil (QC)	12	15	1229	1.25	0.25	102
Petawawa (ON)	13	15	853	1.15	0.1538	66
Vernon (BC)	11	15	447	1.36	0.1818	41
Saint-Agapit (QC)	10	15	1143	1.5	0.3	114
Milton (ON)	14	15	812	1.07	0.0714	58
Princeville (QC)	10	15	1301	1.5	0.5	130
Berthier-Sur-Mer (QC)	11	14	909	1.27	0.2727	83
Tadoussac (QC)	10	14	1280	1.4	0.3	128
Hemmingford (QC)	11	14	1666	1.27	0.1818	151
Compton (QC)	11	14	1165	1.27	0.2727	106
Sainte-Mélanie (QC)	11	14	826	1.27	0.2727	75
Frampton (QC)	10	14	1218	1.4	0.4	122
Saint-Marc-Sur-Richelieu (QC)	10	14	1121	1.4	0.3	112
Saint-Jacques (QC)	14	14	843	1	0	60
Coteau-Du-Lac (QC)	12	14	984	1.17	0.1667	82
Port Perry (ON)	12	14	735	1.17	0.1667	61
Langley (BC)	13	14	363	1.08	0.0769	28
Chilliwack (BC)	13	14	285	1.08	0.0769	22
Courtenay (BC)	14	14	543	1	0	39
Brockville (ON)	14	14	449	1	0	32
Maniwaki (QC)	10	14	687	1.4	0.4	69
Midland (ON)	13	14	581	1.08	0.0769	45
Kanata (ON)	12	14	603	1.17	0.1667	50
Huntsville (ON)	12	14	1025	1.17	0.1667	85
Newmarket (ON)	14	14	502	1	0	36
Bracebridge (ON)	13	14	366	1.08	0.0769	28
Wentworth-Nord (QC)	11	14	1321	1.27	0.1818	120
Charlemagne (QC)	11	14	874	1.27	0.2727	79
Coquitlam (BC)	10	14	807	1.4	0.3	81
Whitehorse (YT)	13	14	1327	1.08	0.0769	102
Saint-Anselme (QC)	12	13	1112	1.08	0.0833	93
Deschambault (QC)	13	13	1396	1	0	107
Ville-Marie (QC)	11	13	1407	1.18	0.0909	128
Mansonville (QC)	11	13	1005	1.18	0.1818	91
Ascot Corner (QC)	12	13	724	1.08	0.0833	60
Salaberry De Valleyfield (QC)	11	13	1298	1.18	0.1818	118
Cobourg (ON)	11	13	751	1.18	0.1818	68
Saint-Tite (QC)	12	13	599	1.08	0.0833	50
Greater Sudbury (ON)	12	13	593	1.08	0.0833	49
Saint-Germain-De-Grantham (QC)	13	13	474	1	0	36
Lac-Supérieur (QC)	11	13	714	1.18	0.1818	65
L'Île-Perrot (QC)	10	13	858	1.3	0.2	86
Orillia (ON)	12	13	607	1.08	0.0833	51
Sainte-Marie-Salomé (QC)	10	13	1868	1.3	0.3	187
Nelson (BC)	12	13	502	1.08	0.0833	42
Burnaby (BC)	12	13	452	1.08	0.0833	38
Lacolle (QC)	11	12	984	1.09	0.0909	89
Brownsburg (QC)	10	12	809	1.2	0.2	81
Pohénégamook (QC)	10	12	658	1.2	0.2	66
Saint-Pamphile (QC)	10	12	994	1.2	0.2	99
Saint-Basile (QC)	10	12	570	1.2	0.2	57
Matagami (QC)	11	12	752	1.09	0.0909	68
Canton De Hatley (QC)	11	12	709	1.09	0.0909	64
Saint-Sulpice (QC)	10	12	1064	1.2	0.2	106
Bedford (QC)	10	12	1202	1.2	0.1	120
Cornwall (ON)	10	12	541	1.2	0.1	54
Val-D’Or (QC)	10	12	1057	1.2	0.1	106
Acton (ON)	12	12	594	1	0	49
Port-Cartier (QC)	11	12	585	1.09	0.0909	53
North Bay (ON)	11	12	3257	1.09	0.0909	296
Lethbridge (AB)	12	12	371	1	0	31
Georgetown (ON)	10	12	739	1.2	0.1	74
Saint-André-Avellin (QC)	12	12	945	1	0	79
Sainte-Emelie-De-L'Energie (QC)	10	11	1161	1.1	0.1	116
Cap-Chat (QC)	10	11	346	1.1	0.1	35
East Broughton (QC)	10	11	569	1.1	0.1	57
Whitby (ON)	11	11	487	1	0	44
Saint-Henri (QC)	10	11	671	1.1	0.1	67
Stratford (ON)	11	11	214	1	0	19
Wakefield (QC)	11	11	1520	1	0	138
Tingwick (QC)	11	11	1007	1	0	92
East Angus (QC)	10	10	638	1	0	64
Shipshaw (QC)	10	10	229	1	0	23
Markham (ON)	10	10	462	1	0	46
