Date,Événement 1,Événement 2, Net sales total , Net sales QC , Net sales ROC , Net sales USA , Total Ad Spend ,ROAS global,, QC Meta Ad spend  , ROAS QC ,, USA Meta Ad Spend , ROAS USA ,, ROC Meta Ad spend  , ROAS ROC , La Presse , Autre Ad Numérique ,% pub total,% pub QC,% pub ROC,% pub USA,Website sessions,Nb. of Orders,Conv. rate,AOV,$/session,Commentaires/constats, Dépensé 2023A - FB Post Foulard  ," CPA 
2023A - FB Post Foulard ", Dépensé - 2023A - FB Post Prévente , CPA - 2023A - FB Post Prévente , Dépensé 2023A - FB Post Sac Lunch , CPA 2023A - FB Post Sac Lunch , Dépensé 2023A - APM prévente post , CPA 2023A - APM prévente post , Dépensé 2023A - FB Post Semelles ,  CPA 2023A - FB Post Semelles  , Dépensé 2023A - FB Post Bandeaux  ," CPA 
2023A - FB Post Bandeaux "
4/10/2026,,, $ 609.43 , $ 609.43 ,,, $ 768.92 ,0.79,, $ 768.92 ,,,,,,,,,,126.17%,,,,,,,,,,,,,,,,,,,,,
4/11/2026,,, $ 626.09 , $ 626.09 ,,, $ 768.92 ,0.81,, $ 768.92 ,,,,,,,,,,122.81%,,,,,,,,,,,,,,,,,,,,,
4/12/2026,,," $ 1,001.51 "," $ 1,001.51 ",,, $ 768.92 ,1.30,, $ 768.92 ,,,,,,,,,,76.78%,,,,,,,,,,,,,,,,,,,,,
4/13/2026,,, $ 692.22 , $ 692.22 ,,, $ 768.92 ,0.90,, $ 768.92 ,,,,,,,,,,111.08%,,,,,,,,,,,,,,,,,,,,,
4/14/2026,,, $ 491.69 , $ 491.69 ,,, $ 768.92 ,0.64,, $ 768.92 ,,,,,,,,,,156.38%,,,,,,,,,,,,,,,,,,,,,
4/15/2026,,, $ 133.76 , $ 133.76 ,,, $ 768.92 ,0.17,, $ 768.92 ,,,,,,,,,,574.85%,,,,,,,,,,,,,,,,,,,,,
4/16/2026,,, $ 514.23 , $ 514.23 ,,, $ 768.92 ,0.67,, $ 768.92 ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4/17/2026,,, $ 249.20 , $ 249.20 ,,, $ 768.92 ,0.32,, $ 768.92 ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4/18/2026,,," $ 4,820.29 "," $ 4,820.29 ",,, $ 768.92 ,6.27,, $ 768.92 ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4/19/2026,,," $ 2,255.29 "," $ 2,255.29 ",,, $ 768.92 ,2.93,, $ 768.92 ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
