campaign_id,name,channel,send_time,recipients,delivered,open_rate,click_rate,conversions,conversion_rate,conversion_value,aov,rpr,unsub_rate,spam_rate
01K4FNF05Q4V5JYEEW6KKNFC8P,Réchauffement prévente 2025 #2,email,"September 06, 2025, 14:15",10548,10543,0.8675,0.05378,8,0.00076,1074.13,134.26625,0.10188,0.01053,0
01KKM5DMFCP511X554CE7Y0FFC,Milkweed planting Campaign (2026),email,"March 14, 2026, 12:00",4283,4263,0.51677,0.05255,16,0.00375,1072.60002,67.0375,0.25161,0.00962,0.00047
01K9AD6M3JKB3N2QYMG3P3W654,Follow-up 2 Concours automne 2025 + Lancement mini-collection Asclépiade et Monarque,email,"November 05, 2025, 16:22",9716,9704,0.15715,0.0068,10,0.00103,1013.79,101.379,0.10447,0.00598,0
01KFTP9DFAENKC1GHPYJBMW6NY,end of season 2026 (clone),email,"January 25, 2026, 13:50",11546,11490,0.49373,0.0141,10,0.00087,1012.34,101.234,0.08811,0.01906,0.00096
01K4TJR71KRRTXB925DQKJ31Z5,follow-up Réchauffement prévente 2025 #2 FR,email,"September 11, 2025, 15:00",8134,8132,0.1349,0.00996,6,0.00074,969.43,161.57167,0.11921,0.00566,0
01KKHTVHQJMNXPHGNNRAJYK3KK,(region QC) Campagne nationale plantation 2026,email,"March 14, 2026, 11:30",21874,21835,0.5292,0.024,17,0.00078,969,57,0.04438,0.00843,5e-05
01K8YETKNGB4JHXZNXJM035MGB,Clone Follow-up Concours automne 2025 + Lancement mini-collection Asclépiade et Monarque,email,"November 01, 2025, 13:00",11338,11288,0.47519,0.01577,8,0.00071,909.24001,113.655,0.08055,0.01302,0.00142
01K4V58DY7BR4B6SK4MA7XNW1Q,Warmup #3 EN presale 2025,email,"September 11, 2025, 15:15",6123,6108,0.78766,0.03143,11,0.00164,861.26,78.29636,0.14101,0.01457,0.00049
01KG763XHRR4X77KDEVRSHN0C9,Vente de fin de saison 2026 (follow-up),email,"January 31, 2026, 12:30",8226,8196,0.1458,0.02172,9,0.0011,839.93001,93.32556,0.10248,0.00561,0.00024
01KBZFQN1GV29GKPZMS23F3980,AIDE clients QC,email,"December 08, 2025, 18:04",2443,2439,0.59738,0,6,0.00246,819.27,136.545,0.3359,0.00697,0
01KBJ9BSQX1P43WRFG6FCM3BAM,Manteaux suivi,email,"December 03, 2025, 14:25",306,306,0.94118,0,4,0.0098,720.72997,180.18249,2.35533,0.00327,0
01K3VM1B33E37HQ7P05V9MVPTG,Réchauffement prévente 2025 #1 FR,email,"August 30, 2025, 12:00",20680,20586,0.5377,0.03187,6,0.00029,702.57,117.095,0.03413,0.01088,0.00015
01KD0C0RED99XHTAF9DSGQGYK6,Suivi précommandes offre cartes,email,"December 21, 2025, 12:13",573,573,0.91099,0.54974,131,0.22164,692.54,5.28656,1.20862,0.00349,0
01K4FBQBKCEFETQ5FZWMMRYQBJ,follow-up Warmup presale 2025 #1,email,"September 06, 2025, 13:00",6126,6092,0.29547,0.01888,12,0.00197,682.57001,56.88083,0.11204,0.00936,0.00098
