id	titre	handle	statut	type	tags	stock_total	url_boutique	variantes	images	collections	cree_le	maj_le
9023211143387	Porte-clé en bois Asclépiade et Monarque - gravé au laser	porte-cle-bois-asclepiade-monarque	ACTIVE			13	https://lasclay.com/products/porte-cle-bois-asclepiade-monarque	2	5	Produits;Pour tous les jours;Été + Tous les jours;Collaborations;Produits (no garden)	2025-10-30	2026-07-18
8662770614491	Sac à bouteille de vin isolé à l'asclépiade	sac-bouteille-vin	ACTIVE		Product-Collection-All;Summer	98	https://lasclay.com/products/sac-bouteille-vin	6	14	Produits;All Products;Pour l'été;BFCM;Pour la cuisine;Été + Tous les jours;Sacs isothermes, glacières & produits estivaux;Produits (no garden)	2024-08-16	2026-08-19
6918126731426	Sac à dos glacière 30L	milkweed-cooler-backpack-30l	ACTIVE		Product-Collection-All;Summer	-6	https://lasclay.com/products/milkweed-cooler-backpack-30l	2	12	Produits;All Products;Pour l'été;BFCM;Été + Tous les jours;Sacs isothermes, glacières & produits estivaux;Produits (no garden)	2021-07-10	2026-08-19
8785365565659	Sac à dos glacière 30L - IMPARFAIT Remis à neuf	sac-a-dos-glaciere-30l-imparfait	ACTIVE		Product-Collection-All;Summer	0	https://lasclay.com/products/sac-a-dos-glaciere-30l-imparfait	2	4	Produits;All Products;Pour l'été;BFCM;Les Imparfaits;Produits (no garden)	2025-01-19	2026-08-19
8059832336603	Sac à lunch	lunchbag	ACTIVE		Everyday;Product-Collection-All	34	https://lasclay.com/products/lunchbag	6	31	Produits;All Products;Pour tous les jours;BFCM;Boxing week 2023;Été + Tous les jours;Sacs isothermes, glacières & produits estivaux;Produits (no garden)	2023-07-20	2026-08-23
8785386406107	Sac à lunch IMPARFAIT	sac-a-lunch-imparfait	ACTIVE		Everyday;Product-Collection-All	0	https://lasclay.com/products/sac-a-lunch-imparfait	1	8	All Products;Pour tous les jours;BFCM;Boxing week 2023;Les Imparfaits;Produits (no garden)	2025-01-19	2026-07-18
9357143605467	Sac de couchage / couverture de plein air d'asclépiade	sac-couchage-isole-fibre-asclepiade-canadien	ACTIVE		Summer	-44	https://lasclay.com/products/sac-couchage-isole-fibre-asclepiade-canadien	2	2	Produits;Pour l'été;BFCM;Été + Tous les jours;Sacs isothermes, glacières & produits estivaux;Produits (no garden)	2026-05-23	2026-08-19
8036827857115	Sac isotherme type «Tote bag»	insulated-tote-bag	ACTIVE		Product-Collection-All;Summer	18	https://lasclay.com/products/insulated-tote-bag	6	20	Produits;All Products;Pour l'été;BFCM;Été + Tous les jours;Sacs isothermes, glacières & produits estivaux;Produits (no garden)	2023-05-26	2026-08-19
9030320980187	Sac isotherme type «Tote bag» IMPARFAIT	sac-isotherme-type-tote-bag-imparfait	DRAFT		Product-Collection-All;Summer	-2		2	5	Produits;All Products;Pour l'été;BFCM;Été + Tous les jours;Sacs isothermes, glacières & produits estivaux;Produits (no garden)	2025-11-07	2026-08-18
8761313165531	Sans titre 17déc._12:03	sans-titre-17dec-_12-03	DRAFT			0		1	0		2024-12-17	2026-07-18
8900276846811	Sans titre 24mai_18:33	sans-titre-24mai_18-33	DRAFT			0		1	0		2025-05-24	2026-07-18
9394944803035	Savon hydratant à la glycérine et huile d'asclépiade	savon	DRAFT			12		1	2	Produits;Matières;Produits (no garden)	2026-07-06	2026-07-30
