"campaign_id","name","channel","send_time","recipients","delivered","open_rate","click_rate","conversion_uniques","conversion_value","unsubscribe_rate","spam_rate"
"01KQM4YQKWG0XFXB3ZWAG6DQW0","Précommande été 2026","email","May 02, 2026, 11:30",19933,19922,0.5248,0.04713,55,4592.52999,0.00743,0.0001
"01KQM78PHDKB6N003P21PC2H0W","Précommande été 2026 (EN)","email","May 02, 2026, 11:55",3665,3658,0.52433,0.03308,2,78.52,0.0123,0.00027
"01KRX1MBST6PSVYW6RME23NS76","Réchauffement prévente 2026 #1","email","May 18, 2026, 11:00",20265,20259,0.53606,0.0501,7,459.28,0.00745,0.00114
"01KSCYFRHZFXTA6Z4SYBNCE8D1","Réchauffement prévente 2026 #2 - video doc","email","May 24, 2026, 12:45",19308,19303,0.60415,0.13014,11,1255.84,0.00622,0.00073
"01KSQ4N8RP8S7WVP8PKS0TBZ3F","Réchauffement prévente 2026 #3 - video cache-cou","email","May 28, 2026, 12:15",19197,19192,0.55706,0.10218,60,8618.5,0.00516,0.00005
"01KSVFGFHWHMS8FPR1BRH1GM73","Réchauffement prévente 2026 #4","email","May 30, 2026, 11:00",19103,19100,0.53319,0.0534,323,52159.45997,0.00545,0.00058
"01KSZ2CG0DQ86XH07GH0XVBH43","Réchauffement prévente 2026 remerciement","email","May 31, 2026, 13:24",21273,21221,0.48532,0.02634,52,7183.74999,0.00895,0.00009
"01KVE013N0ANFS640GVZSW59XX","Suivi prévente 2026","email","June 20, 2026, 11:00",18802,18794,0.52581,0.02549,15,2060.20004,0.00718,0.00021
"01KSVYMZQWB682ZVFW8GT6QHX6","prévente printemps 2026 SMS","sms","May 30, 2026, 13:00",21336,14928,0,0,0,0,0.05024,0
"01K5J728616HC4CXNYWRPHX1YC","Suivi précommande Acheteur","email","September 20, 2025, 12:00",188,187,0.92513,0.14439,2,407.82,0,0
"01K7Y52RJB7N7BKMBWSA57D03E","Fall contest 2025","email","October 19, 2025, 13:05",3834,3821,0.51531,0.01544,3,506.57,0.01282,0
"01K84NYGT22FRFNSYE0WD7FQ1M","follow-up Fall contest 2025","email","October 23, 2025, 10:00",1955,1953,0.19816,0.00973,0,0,0.01126,0
"01K9AD6M3JKB3N2QYMG3P3W654","Follow-up 2 Concours automne 2025 + Lancement mini-collection Asclépiade et Monarque","email","November 05, 2025, 16:22",9716,9704,0.15715,0.0068,10,1013.79,0.00598,0
"01K9ADBWDM43Z3F9Z73WJ39M2R","Suivi précommande Acheteur #2","email","November 05, 2025, 16:47",522,521,0.86756,0.14779,6,672.42,0.00576,0
"01K9B5V4BP3PGMYH0DHN2S59J7","Clone Suivi précommande Acheteur #2","email","November 05, 2025, 23:33",172,171,0.87135,0.29825,2,527.66,0,0
"01KA6K7S2XAR4HCY0WDBHPBTAN","Fall contest 2025","email","November 16, 2025, 15:18",1907,1905,0.17638,0.0084,0,0,0.01102,0
"01KB3DC1H6C3RJS69PS2V1VWH9","Suivi commandes + excuses","email","November 28, 2025, 21:00",452,450,0.90889,0.07111,2,436.88001,0.00444,0
"01KBFXJHXRFA9W46WQ3J1TNAG9","Vérification grandeur mitaines FR","email","December 02, 2025, 17:04",347,345,0.90435,0.26087,4,495.47,0.0029,0
"01KBZFQN1GV29GKPZMS23F3980","AIDE clients QC","email","December 08, 2025, 18:04",2443,2439,0.59738,0,6,819.27,0.00697,0
"01KC7H1S193XYKGE1VR883WGKW","Clone Suivi commandes + excuses","email","December 12, 2025, 14:13",1073,1071,0.88049,0,4,590.89001,0.00373,0
"01KC9XCGN4J2NQXTKAEB3GMS1C","EN Clone Suivi commandes + excuses","email","December 12, 2025, 19:15",75,74,0.86486,0,0,0,0,0
"01KECBCPWCTQA13C6VVJNT7DYN","Manteaux suivi final","email","January 07, 2026, 14:13",170,169,0.92308,0,0,0,0,0
"01KJNE1QC99SGV2AT914NW9ETB","Tirage monarques","email","March 01, 2026, 19:56",20820,20796,0.53549,0.0704,15,1928.52,0.00558,0
"01KN7DZKMAFVM68X5XQ2R7N8CM","(region QC) Campagne nationale plantation 2026 (clone)","email","April 04, 2026, 07:30",21608,21561,0.5214,0.03274,29,1626.39,0.00751,0
"01KVDD0X8TDDNCDG63ZCVQDTZS","Suivi prévente 2026 commandes","email","June 18, 2026, 18:29",341,340,0.86765,0.1,1,72.43,0,0
"01K5J5762CVXJ9CTC9XCRKV9WG","Suivi manteaux","email","September 20, 2025, 12:00",250,250,0.924,0.456,1,160.92999,0.004,0
"01KABV76115NP178V6MZGFWA5B","Retard mitaines urbaines","email","November 18, 2025, 16:27",190,190,0.91053,0.01053,2,97.7,0.00526,0
